t,o,h,l,c,v
1774497600000,248.89,251.86,247.16,247.44,46830212.158566
1774584000000,246.01,246.74,242.41,243.1,48114404.379138
1774843200000,245.35,245.37,238.69,239.61,51290488.238965
1774929600000,243.04,248.92,242.24,248.0,58660823.313365
1775016000000,249.92,252.44,249.11,249.56,51295864.063887
1775102400000,244.94,252.37,244.87,251.29,30369203.354707
1775448000000,250.99,253.05,250.25,252.36,22151444.994072
1775534400000,251.21,253.48,249.52,252.91,34881919.273583
1775620800000,261.52,262.27,258.41,260.47,46680248.406046
1775707200000,258.78,262.9,258.78,261.96,26758382.578457
1775793600000,262.4,262.75,260.34,261.3,22365908.844759
1776052800000,260.24,265.36,260.02,265.07,23820000.747939
1776139200000,267.09,269.42,266.28,268.72,24270358.88926
1776225600000,268.78,269.585,267.59,269.39,21670617.742312
1776312000000,269.45,270.35,268.05,269.95,30847915.343379
1776398400000,273.74,277.63,273.115,275.78,46462703.983098
1776657600000,274.65,277.665,274.53,277.35,22993851.222261
1776744000000,278.175,279.79,273.76,274.51,32235226.774905
1776830400000,277.59,278.01,274.9,276.48,20274267.532581
1776916800000,276.73,277.87,271.95,275.52,32886591.358163
1777003200000,276.67,278.13,274.23,276.65,21568587.644564
1777262400000,276.82,278.24,276.25,277.14,23399408.984404
1777348800000,276.05,276.97,272.915,273.91,24139406.636398
1777435200000,273.92,274.38,270.36,272.08,29428947.561555
1777521600000,273.13,278.22,272.44,277.97,29220714.265062
1777608000000,278.66,279.81,276.57,279.28,28936703.713117
1777867200000,278.7,280.79,276.1,277.88,28632338.370212
1777953600000,280.13,282.945,280.0,282.56,24863175.609596
1778040000000,285.36,287.045,283.36,286.8,23330334.615664
1778126400000,287.53,287.58,281.15,282.26,28350394.231375
1778212800000,284.035,284.97,282.61,284.17,22474309.015633
1778472000000,284.92,287.05,284.59,285.33,20150350.304013
1778558400000,284.04,284.06,278.28,282.57,27404639.293063
1778644800000,282.92,283.56,279.93,282.67,20742270.551608
1778731200000,283.84,285.655,281.96,284.45,17428746.152435
1778817600000,280.3,280.33,277.24,277.6,35407975.500564
1779076800000,278.74,279.08,273.94,275.97,27243341.326318
1779163200000,273.805,275.075,270.63,273.0,30276939.724735
1779249600000,274.91,280.09,273.41,279.87,31562006.939994
1779336000000,278.66,283.68,277.15,282.49,31680475.978186
1779422400000,284.1,286.61,283.67,285.12,23849296.785952
1779768000000,288.39,290.55,287.74,290.51,24506452.573967
1779854400000,291.16,291.72,289.31,290.37,24519854.370219
1779940800000,289.64,292.74,287.98,292.03,23710563.301043
1780027200000,291.38,291.41,288.33,290.43,26961014.572352
1780286400000,288.37,290.61,286.27,288.98,23826067.250533
1780372800000,288.46,291.865,288.4,291.66,18378829.72447
